pokemonId;hasItem;hasHiddenAbility;hasEggMove;hasPokerus;hasPerfectIV;isShiny;level;date;time;userId;liked;trainerId
607;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;80213;1424;;783
661;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;51127;1565;;1612
333;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;16;2015-02-08;52605;1278;dislike;2103
252;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;58945;1278;like;3302
142;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;20;2015-02-08;54817;1616;;4162
265;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;5;2015-02-08;61041;1424;dislike;5179
92;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;49559;1278;;5650
278;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;49871;669;dislike;6702
311;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;56404;1617;like;7941
95;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;15;2015-02-08;55597;1278;;7992
278;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;13;2015-02-08;72439;669;dislike;8168
316;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;10;2015-02-08;5581;1613;;8305
650;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;61836;1424;;9129
263;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;32579;1614;dislike;9729
278;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;40083;1424;dislike;9845
278;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;40083;1424;dislike;9845
679;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;51217;1565;like;10929
309;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;11;2015-02-08;80108;1424;like;11542
370;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;25;2015-02-08;61133;1424;;11855
656;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;80072;1424;;12329
