abilities,résistance,attack,base_egg_steps,base_total,capture_rate,classfication,defense,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary
"['Overgrow', 'Chlorophyll']","19,25",49,5120,318,45,Seed Pokémon,49,45,Bulbasaur,"88,1",1,65,65,45,grass,poison,1,0
"['Overgrow', 'Chlorophyll']","19,25",62,5120,405,45,Seed Pokémon,63,60,Ivysaur,"88,1",2,80,80,60,grass,poison,1,0
"['Overgrow', 'Chlorophyll']","19,25",100,5120,625,45,Seed Pokémon,123,80,Venusaur,"88,1",3,122,120,80,grass,poison,1,0
"['Blaze', 'Solar Power']",18,52,5120,309,45,Lizard Pokémon,43,39,Charmander,"88,1",4,60,50,65,fire,,1,0
"['Blaze', 'Solar Power']",18,64,5120,405,45,Flame Pokémon,58,58,Charmeleon,"88,1",5,80,65,80,fire,,1,0
"['Blaze', 'Solar Power']","18,5",104,5120,634,45,Flame Pokémon,78,78,Charizard,"88,1",6,159,115,100,fire,flying,1,0
"['Torrent', 'Rain Dish']",18,48,5120,314,45,Tiny Turtle Pokémon,65,44,Squirtle,"88,1",7,50,64,43,water,,1,0
"['Torrent', 'Rain Dish']",18,63,5120,405,45,Turtle Pokémon,80,59,Wartortle,"88,1",8,65,80,58,water,,1,0
"['Torrent', 'Rain Dish']",18,103,5120,630,45,Shellfish Pokémon,120,79,Blastoise,"88,1",9,135,115,78,water,,1,0
"['Shield Dust', 'Run Away']","19,5",30,3840,195,255,Worm Pokémon,35,45,Caterpie,50,10,20,20,45,bug,,1,0
['Shed Skin'],"19,5",20,3840,205,120,Cocoon Pokémon,55,50,Metapod,50,11,25,25,30,bug,,1,0
"['Compoundeyes', 'Tinted Lens']",22,45,3840,395,45,Butterfly Pokémon,50,60,Butterfree,50,12,90,80,70,bug,flying,1,0
"['Shield Dust', 'Run Away']",19,35,3840,195,255,Hairy Pokémon,30,40,Weedle,50,13,20,20,50,bug,poison,1,0
['Shed Skin'],19,25,3840,205,120,Cocoon Pokémon,50,45,Kakuna,50,14,25,25,35,bug,poison,1,0
"['Swarm', 'Sniper']",19,150,3840,495,45,Poison Bee Pokémon,40,65,Beedrill,50,15,15,80,145,bug,poison,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",18,45,3840,251,255,Tiny Bird Pokémon,40,40,Pidgey,50,16,35,35,56,normal,flying,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",18,60,3840,349,120,Bird Pokémon,55,63,Pidgeotto,50,17,50,50,71,normal,flying,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",18,80,3840,579,45,Bird Pokémon,80,83,Pidgeot,50,18,135,80,121,normal,flying,1,0
